TransactionAmount,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionWeekday,TransactionDay,TransactionMonth,PreviousTransactionDate
246.93,Debit,Miami,D000046,M029,ATM,23,Student,158,5,673.35,16,0,17,4,2024-11-04 08:11:38
40.32,Debit,Milwaukee,D000310,M008,Branch,37,Engineer,95,1,2686.52,16,2,29,3,2024-11-04 08:11:59
127.45,Debit,Las Vegas,D000232,M092,Online,44,Doctor,197,1,1772.06,16,1,24,1,2024-11-04 08:11:22
56.17,Debit,Detroit,D000297,M043,Branch,27,Student,283,1,1351.69,16,2,20,9,2024-11-04 08:08:30
28.31,Credit,Miami,D000587,M091,Online,59,Doctor,20,1,8334.47,17,0,17,7,2024-11-04 08:09:17
59.12,Debit,Baltimore,D000282,M053,ATM,29,Doctor,257,1,9823.64,16,0,6,2,2024-11-04 08:06:58
396.45,Debit,New York,D000621,M007,ATM,49,Engineer,168,3,9690.15,16,0,25,9,2024-11-04 08:11:13
877.81,Debit,Los Angeles,D000111,M094,Online,22,Student,150,1,399.0,17,0,13,3,2024-11-04 08:07:50
255.26,Credit,San Francisco,D000357,M002,Branch,45,Doctor,50,1,14815.87,16,4,27,10,2024-11-04 08:10:51
124.76,Debit,Seattle,D000042,M002,Branch,49,Engineer,45,1,5764.72,16,0,16,10,2024-11-04 08:06:23
78.13,Debit,Milwaukee,D000250,M028,Branch,26,Student,145,1,900.61,16,1,21,11,2024-11-04 08:12:18
649.28,Debit,San Jose,D000448,M074,ATM,75,Retired,137,1,4875.86,17,3,2,3,2024-11-04 08:11:15
795.31,Debit,Mesa,D000077,M048,ATM,66,Doctor,90,2,7914.88,17,3,12,10,2024-11-04 08:11:17
335.63,Debit,Oklahoma City,D000038,M040,Online,55,Retired,216,1,1019.39,17,1,24,1,2024-11-04 08:07:32
328.47,Debit,San Antonio,D000557,M014,ATM,63,Retired,119,1,4323.66,18,0,31,7,2024-11-04 08:07:31
34.02,Debit,Philadelphia,D000627,M046,Online,38,Doctor,19,1,14214.48,16,0,9,1,2024-11-04 08:11:45
241.42,Credit,Charlotte,D000198,M044,Online,57,Doctor,116,1,13357.02,18,3,20,4,2024-11-04 08:09:03
55.32,Debit,Tucson,D000197,M009,ATM,19,Student,117,1,241.79,16,2,12,4,2024-11-04 08:08:03
304.31,Debit,Louisville,D000685,M005,Branch,27,Student,33,1,868.61,16,2,26,7,2024-11-04 08:09:53
435.27,Debit,Chicago,D000297,M051,Branch,74,Retired,90,1,4673.28,17,2,4,10,2024-11-04 08:11:12
164.49,Debit,Baltimore,D000103,M070,Branch,26,Student,75,1,1509.27,16,2,13,12,2024-11-04 08:10:33
510.24,Debit,Oklahoma City,D000397,M090,Online,19,Student,105,1,781.7,16,0,9,10,2024-11-04 08:11:35
626.9,Debit,Denver,D000284,M023,Online,26,Student,138,1,265.51,16,0,27,11,2024-11-04 08:07:24
22.01,Credit,Sacramento,D000304,M055,Online,41,Engineer,175,1,1335.09,16,0,27,3,2024-11-04 08:06:31
425.34,Credit,Kansas City,D000661,M040,Online,69,Retired,121,1,3907.54,16,0,13,2,2024-11-04 08:07:07
424.56,Debit,Omaha,D000598,M015,Online,51,Engineer,264,1,5183.85,17,1,21,2,2024-11-04 08:09:02
85.43,Debit,Virginia Beach,D000235,M078,Branch,67,Doctor,145,1,14904.9,16,2,7,6,2024-11-04 08:06:45
169.5,Debit,San Diego,D000442,M036,Branch,28,Student,142,1,918.88,16,3,7,9,2024-11-04 08:08:58
104.63,Debit,Omaha,D000642,M095,ATM,62,Retired,90,1,4477.78,17,2,29,3,2024-11-04 08:10:42
316.95,Debit,Mesa,D000013,M052,Branch,25,Student,83,1,1324.03,17,4,4,8,2024-11-04 08:09:15
60.54,Credit,Columbus,D000462,M095,Branch,57,Retired,52,1,3534.93,17,3,14,12,2024-11-04 08:09:57
292.56,Credit,Dallas,D000311,M075,Branch,68,Retired,61,1,4638.37,17,4,3,3,2024-11-04 08:07:49
386.52,Debit,Indianapolis,D000145,M064,Branch,48,Engineer,28,1,5630.61,16,4,9,6,2024-11-04 08:07:09
112.07,Debit,Kansas City,D000089,M064,Branch,23,Student,51,1,930.3,16,0,2,10,2024-11-04 08:11:37
568.52,Debit,Indianapolis,D000233,M094,ATM,46,Engineer,152,1,5499.91,18,4,6,10,2024-11-04 08:06:25
263.99,Debit,Dallas,D000285,M087,Branch,79,Retired,227,2,4175.02,16,1,16,5,2024-11-04 08:11:03
349.64,Debit,Las Vegas,D000516,M097,Online,48,Engineer,226,1,6651.62,16,1,7,11,2024-11-04 08:08:09
601.4,Credit,Philadelphia,D000548,M001,Branch,56,Engineer,104,1,8458.29,17,1,30,5,2024-11-04 08:08:01
5.77,Debit,Charlotte,D000461,M071,Online,50,Doctor,124,1,13988.12,16,3,2,11,2024-11-04 08:11:32
201.33,Credit,Nashville,D000098,M003,Branch,42,Engineer,186,1,2585.07,17,2,29,3,2024-11-04 08:11:41
298.42,Debit,Indianapolis,D000435,M005,Branch,56,Retired,225,1,3014.75,16,1,25,4,2024-11-04 08:10:12
521.06,Debit,Albuquerque,D000305,M063,Branch,25,Student,128,1,1951.42,18,1,18,4,2024-11-04 08:12:10
117.28,Credit,Austin,D000128,M057,Online,60,Engineer,16,1,3665.77,16,3,9,2,2024-11-04 08:07:11
189.12,Credit,Indianapolis,D000684,M040,Branch,32,Engineer,103,1,977.01,16,0,13,11,2024-11-04 08:08:42
133.55,Debit,Atlanta,D000201,M091,ATM,44,Engineer,220,1,3846.28,16,1,18,7,2024-11-04 08:10:18
143.21,Debit,Dallas,D000410,M066,Online,35,Engineer,135,1,6374.82,17,4,13,1,2024-11-04 08:09:26
24.77,Debit,Boston,D000180,M070,ATM,62,Retired,55,1,5866.01,18,1,4,7,2024-11-04 08:12:15
233.92,Credit,Jacksonville,D000295,M046,Online,26,Student,280,1,6537.62,16,4,20,10,2024-11-04 08:08:45
1212.51,Debit,Indianapolis,D000231,M036,Branch,20,Student,24,1,605.95,16,2,4,10,2024-11-04 08:06:51
232.12,Debit,Omaha,D000073,M066,ATM,37,Engineer,51,1,6689.87,17,3,28,12,2024-11-04 08:09:17
162.63,Debit,Kansas City,D000070,M060,Online,22,Student,113,1,634.17,17,0,12,6,2024-11-04 08:08:22
91.53,Debit,Milwaukee,D000363,M095,Branch,44,Doctor,69,1,14676.05,16,0,13,3,2024-11-04 08:11:36
120.29,Debit,Miami,D000561,M045,Branch,19,Student,77,1,1362.39,18,0,18,12,2024-11-04 08:06:50
174.25,Debit,Seattle,D000375,M032,Online,50,Doctor,67,1,10528.34,18,0,17,7,2024-11-04 08:10:29
183.71,Debit,Denver,D000488,M074,ATM,38,Engineer,102,1,552.52,18,0,19,6,2024-11-04 08:09:51
345.39,Credit,Phoenix,D000097,M081,Online,58,Engineer,80,1,6451.96,17,0,23,10,2024-11-04 08:08:16
922.55,Debit,Detroit,D000206,M004,ATM,63,Retired,87,1,4715.84,16,0,23,1,2024-11-04 08:11:07
259.91,Debit,Denver,D000616,M028,Online,49,Doctor,170,1,7176.86,16,0,6,11,2024-11-04 08:09:38
154.71,Debit,San Diego,D000494,M030,Online,34,Doctor,157,1,1523.72,16,0,3,7,2024-11-04 08:09:42
1340.19,Credit,Austin,D000574,M012,Online,54,Engineer,30,1,8654.28,17,4,29,9,2024-11-04 08:06:53
24.56,Debit,Mesa,D000428,M033,Branch,64,Doctor,69,1,9869.93,17,4,20,10,2024-11-04 08:12:05
568.07,Debit,Washington,D000018,M054,ATM,48,Doctor,115,1,10556.81,17,0,28,8,2024-11-04 08:07:32
9.61,Credit,San Diego,D000453,M043,Online,58,Doctor,179,1,12883.91,18,3,22,6,2024-11-04 08:09:10
392.96,Debit,Kansas City,D000141,M022,Online,24,Student,100,1,791.65,16,0,20,11,2024-11-04 08:08:38
716.93,Credit,Milwaukee,D000322,M052,Online,60,Retired,34,1,4064.02,16,3,14,9,2024-11-04 08:08:12
223.85,Debit,Kansas City,D000481,M009,ATM,53,Engineer,55,4,2929.91,16,0,2,10,2024-11-04 08:08:01
230.66,Debit,Houston,D000526,M049,Branch,21,Student,135,1,618.05,18,0,27,3,2024-11-04 08:10:44
442.12,Debit,Los Angeles,D000645,M047,Online,19,Student,260,1,1375.8,16,3,21,12,2024-11-04 08:08:21
644.17,Debit,San Antonio,D000178,M093,ATM,29,Engineer,72,1,1143.52,16,3,2,3,2024-11-04 08:08:04
508.68,Credit,Mesa,D000622,M048,Branch,51,Engineer,127,1,7708.41,16,0,26,6,2024-11-04 08:09:32
858.63,Credit,San Francisco,D000019,M002,Branch,27,Student,185,1,1872.96,17,1,18,4,2024-11-04 08:10:47
25.36,Debit,Louisville,D000192,M007,ATM,57,Engineer,78,1,201.04,17,0,17,7,2024-11-04 08:11:05
147.62,Debit,Charlotte,D000093,M028,Branch,71,Retired,133,1,2115.8,17,4,1,9,2024-11-04 08:07:22
115.02,Debit,San Antonio,D000528,M004,Branch,37,Doctor,175,1,7643.66,16,0,11,9,2024-11-04 08:08:38
383.37,Debit,Fort Worth,D000321,M066,Branch,30,Engineer,24,1,8901.93,17,1,24,1,2024-11-04 08:11:07
98.54,Credit,El Paso,D000528,M095,Online,20,Student,167,1,9383.43,16,4,11,8,2024-11-04 08:10:02
83.24,Credit,Fort Worth,D000607,M009,Branch,55,Doctor,164,1,1181.31,18,0,16,10,2024-11-04 08:10:52
196.16,Debit,Virginia Beach,D000164,M099,Branch,27,Engineer,146,1,9418.86,16,4,24,2,2024-11-04 08:08:32
129.94,Debit,Las Vegas,D000647,M045,ATM,32,Engineer,235,1,7954.92,16,0,2,1,2024-11-04 08:06:35
306.9,Debit,Colorado Springs,D000078,M047,Online,46,Engineer,51,1,9418.08,16,3,30,11,2024-11-04 08:10:48
114.98,Debit,Seattle,D000182,M032,Online,59,Retired,80,1,6144.68,16,2,1,11,2024-11-04 08:09:24
756.59,Debit,Sacramento,D000028,M012,Branch,27,Student,17,1,420.65,16,0,6,3,2024-11-04 08:11:40
503.76,Debit,Los Angeles,D000518,M083,Online,22,Student,35,1,447.82,18,0,27,11,2024-11-04 08:09:22
143.03,Debit,San Antonio,D000469,M055,ATM,63,Retired,147,1,7981.45,16,0,31,7,2024-11-04 08:10:42
1045.22,Debit,Columbus,D000400,M077,ATM,53,Retired,73,1,1829.9,16,2,22,11,2024-11-04 08:07:35
245.54,Debit,New York,D000536,M089,ATM,25,Student,180,1,985.06,16,1,21,3,2024-11-04 08:10:26
254.37,Credit,Dallas,D000477,M012,Online,51,Engineer,174,1,8849.26,18,3,20,4,2024-11-04 08:06:56
213.76,Credit,Dallas,D000574,M009,ATM,78,Retired,282,1,3528.72,17,2,1,3,2024-11-04 08:09:36
327.86,Debit,Fresno,D000655,M051,Online,40,Engineer,104,1,480.16,16,4,10,2,2024-11-04 08:06:30
2.5,Debit,San Diego,D000673,M042,Online,47,Doctor,107,1,12145.27,16,4,21,7,2024-11-04 08:09:53
300.08,Credit,Austin,D000266,M040,Online,68,Doctor,47,1,13546.75,17,0,9,10,2024-11-04 08:12:18
56.98,Credit,Oklahoma City,D000256,M086,ATM,43,Engineer,122,2,5688.37,16,0,1,1,2024-11-04 08:07:42
407.65,Debit,Boston,D000544,M041,Online,26,Engineer,62,1,8346.64,16,4,7,7,2024-11-04 08:06:30
115.83,Debit,Fresno,D000663,M086,Branch,39,Engineer,167,1,6481.04,17,0,22,5,2024-11-04 08:10:02
53.57,Debit,Houston,D000489,M025,ATM,69,Retired,121,1,1651.33,16,2,16,8,2024-11-04 08:08:43
63.34,Credit,Detroit,D000434,M028,Online,46,Doctor,165,1,11174.94,16,4,17,11,2024-11-04 08:10:13
317.87,Debit,Detroit,D000314,M076,Online,27,Student,91,1,145.5,17,0,22,5,2024-11-04 08:11:32
331.65,Debit,Portland,D000037,M006,Online,41,Engineer,61,1,4172.57,17,4,25,8,2024-11-04 08:11:00
5.04,Debit,Washington,D000021,M001,ATM,56,Retired,41,1,5558.36,16,0,27,11,2024-11-04 08:10:48
214.54,Credit,Detroit,D000112,M026,Online,70,Doctor,247,1,11151.53,17,4,4,8,2024-11-04 08:11:56
598.81,Debit,Philadelphia,D000042,M081,Branch,57,Doctor,158,1,1415.52,16,0,4,9,2024-11-04 08:10:13
841.28,Debit,Tucson,D000276,M083,Online,26,Student,80,1,1103.64,17,2,9,8,2024-11-04 08:09:58
38.15,Debit,Mesa,D000687,M005,Online,26,Student,108,1,303.68,16,3,7,9,2024-11-04 08:07:42
1036.66,Debit,San Antonio,D000015,M062,Branch,58,Doctor,144,1,5541.57,16,1,11,7,2024-11-04 08:09:24
124.72,Debit,Oklahoma City,D000118,M004,Branch,33,Engineer,105,1,6309.8,17,0,3,7,2024-11-04 08:07:25
302.45,Credit,San Antonio,D000052,M059,Branch,78,Retired,40,1,5133.61,17,0,25,9,2024-11-04 08:11:55
208.04,Debit,Louisville,D000339,M055,Online,47,Engineer,273,1,9344.98,17,0,20,11,2024-11-04 08:08:45
5.77,Credit,Los Angeles,D000236,M098,Branch,23,Student,254,1,1117.97,17,4,17,11,2024-11-04 08:10:53
381.33,Debit,Albuquerque,D000635,M034,ATM,56,Doctor,75,1,11835.35,16,0,21,8,2024-11-04 08:09:32
16.16,Debit,Milwaukee,D000465,M065,ATM,50,Doctor,124,1,14401.17,16,0,16,10,2024-11-04 08:11:59
486.08,Debit,Oklahoma City,D000170,M060,Online,18,Student,68,1,1748.69,17,1,20,6,2024-11-04 08:07:03
336.39,Debit,San Antonio,D000426,M003,Branch,21,Student,18,1,1000.46,16,0,16,1,2024-11-04 08:09:57
997.43,Debit,Seattle,D000661,M067,Online,69,Doctor,118,1,6810.05,16,2,22,11,2024-11-04 08:08:25
234.57,Debit,Chicago,D000553,M045,Online,23,Student,120,1,263.98,16,4,1,9,2024-11-04 08:08:47
6.0,Debit,Chicago,D000556,M090,Online,30,Doctor,246,1,5442.76,18,0,23,10,2024-11-04 08:09:43
1049.92,Debit,Detroit,D000522,M052,ATM,80,Retired,21,1,2037.85,16,0,23,10,2024-11-04 08:10:34
227.14,Debit,Charlotte,D000439,M057,ATM,18,Student,294,1,341.94,17,0,3,7,2024-11-04 08:11:34
233.74,Credit,Oklahoma City,D000600,M030,Online,66,Retired,17,1,1066.59,16,1,24,10,2024-11-04 08:11:17
113.02,Credit,Jacksonville,D000369,M019,Branch,69,Retired,166,1,6077.96,16,0,25,9,2024-11-04 08:07:21
45.85,Debit,Los Angeles,D000241,M085,ATM,20,Student,92,1,1659.15,17,3,16,2,2024-11-04 08:07:24
973.39,Debit,Sacramento,D000292,M026,Branch,77,Retired,296,1,2042.22,17,2,30,8,2024-11-04 08:11:44
514.95,Debit,New York,D000109,M056,Online,41,Doctor,142,5,421.93,18,3,13,4,2024-11-04 08:10:01
415.5,Debit,Memphis,D000330,M077,ATM,66,Doctor,141,1,10113.66,16,4,28,7,2024-11-04 08:10:23
265.76,Debit,Philadelphia,D000158,M049,Online,54,Retired,92,1,4446.17,17,0,6,2,2024-11-04 08:12:18
69.4,Debit,Virginia Beach,D000413,M073,Online,80,Retired,113,1,6452.77,18,0,24,7,2024-11-04 08:09:04
332.93,Credit,Albuquerque,D000548,M039,Branch,35,Engineer,293,1,2788.2,16,0,20,11,2024-11-04 08:08:14
267.9,Debit,San Antonio,D000605,M078,Online,20,Student,160,1,596.16,16,0,9,10,2024-11-04 08:08:34
496.03,Debit,San Francisco,D000070,M009,Branch,61,Doctor,265,1,12904.66,16,4,3,11,2024-11-04 08:09:41
376.26,Debit,Tucson,D000481,M081,ATM,37,Engineer,245,1,9062.4,16,2,15,2,2024-11-04 08:09:58
83.02,Credit,Seattle,D000226,M058,Online,36,Engineer,171,1,9009.56,17,0,4,9,2024-11-04 08:11:01
93.26,Credit,New York,D000436,M092,Online,20,Student,72,1,1152.2,16,3,27,7,2024-11-04 08:12:04
803.37,Credit,Memphis,D000108,M030,Branch,68,Doctor,129,1,12168.37,16,0,17,4,2024-11-04 08:08:40
35.76,Debit,Charlotte,D000678,M057,Branch,23,Student,122,1,611.86,17,1,19,9,2024-11-04 08:11:40
28.53,Debit,Washington,D000310,M035,Online,62,Doctor,99,1,8670.53,16,2,31,5,2024-11-04 08:06:30
139.53,Credit,Louisville,D000491,M002,Online,53,Doctor,177,1,10098.86,17,0,9,10,2024-11-04 08:07:31
307.57,Debit,Detroit,D000076,M049,Branch,33,Doctor,285,1,5307.74,16,0,9,1,2024-11-04 08:06:33
60.65,Credit,Tucson,D000456,M085,Branch,56,Retired,53,1,1047.28,18,4,26,5,2024-11-04 08:09:22
74.86,Debit,Nashville,D000115,M028,Branch,70,Doctor,125,1,6921.48,17,0,14,8,2024-11-04 08:07:39
117.97,Debit,Kansas City,D000281,M100,Branch,51,Retired,137,1,1475.46,18,4,24,11,2024-11-04 08:09:21
231.91,Debit,Memphis,D000371,M044,ATM,34,Engineer,165,1,112.76,18,1,31,1,2024-11-04 08:12:15
126.21,Debit,Baltimore,D000001,M001,Branch,75,Retired,268,1,5669.66,16,1,14,2,2024-11-04 08:08:42
506.28,Credit,Chicago,D000606,M010,Online,53,Retired,162,2,1309.95,17,1,2,5,2024-11-04 08:09:09
304.35,Debit,Houston,D000281,M007,Branch,31,Engineer,36,1,4057.1,17,0,4,12,2024-11-04 08:08:45
281.85,Debit,Detroit,D000148,M013,ATM,22,Student,109,1,1585.98,17,1,16,5,2024-11-04 08:07:38
777.88,Debit,Houston,D000436,M018,Branch,31,Engineer,17,1,6825.55,16,0,20,3,2024-11-04 08:09:15
119.18,Debit,Los Angeles,D000309,M093,Branch,56,Retired,96,1,5516.5,18,4,25,8,2024-11-04 08:07:34
177.19,Debit,Chicago,D000666,M088,Online,76,Retired,43,1,5343.3,17,0,15,5,2024-11-04 08:06:30
260.88,Debit,Denver,D000327,M094,Branch,22,Student,36,1,903.05,16,0,29,5,2024-11-04 08:06:52
169.47,Debit,Chicago,D000061,M046,Online,24,Student,19,1,1806.16,16,2,22,3,2024-11-04 08:07:37
73.23,Debit,Portland,D000059,M022,Branch,26,Student,14,1,787.74,16,4,19,5,2024-11-04 08:11:12
1362.55,Debit,El Paso,D000213,M001,ATM,29,Engineer,106,1,2429.68,18,4,10,2,2024-11-04 08:11:05
792.57,Debit,Baltimore,D000424,M059,ATM,19,Student,164,1,770.37,16,0,22,5,2024-11-04 08:10:39
237.06,Debit,Phoenix,D000455,M049,Online,71,Retired,46,1,1182.77,16,0,18,12,2024-11-04 08:07:50
34.17,Credit,Philadelphia,D000036,M091,Online,54,Engineer,54,1,726.55,16,1,21,11,2024-11-04 08:06:29
740.25,Debit,Philadelphia,D000030,M010,Online,41,Doctor,123,1,14464.3,17,2,19,7,2024-11-04 08:08:27
453.54,Debit,Albuquerque,D000150,M017,ATM,58,Doctor,82,1,12046.3,16,2,19,4,2024-11-04 08:12:06
300.47,Debit,Jacksonville,D000272,M065,Branch,73,Retired,100,1,7885.64,16,0,13,11,2024-11-04 08:08:00
110.93,Credit,Virginia Beach,D000142,M036,Branch,19,Student,201,1,1952.35,16,4,7,4,2024-11-04 08:10:53
201.69,Debit,Las Vegas,D000626,M019,ATM,59,Doctor,299,1,7328.52,16,1,3,1,2024-11-04 08:10:16
399.21,Debit,Portland,D000301,M062,ATM,59,Engineer,109,1,3210.39,16,0,30,1,2024-11-04 08:08:21
1041.88,Debit,Jacksonville,D000208,M032,Online,78,Retired,57,1,5726.2,16,2,6,9,2024-11-04 08:06:44
630.36,Debit,Mesa,D000091,M084,ATM,62,Retired,52,1,1363.65,16,3,2,3,2024-11-04 08:12:15
10.94,Credit,Philadelphia,D000503,M083,ATM,60,Engineer,245,1,1241.99,17,0,23,10,2024-11-04 08:11:53
215.9,Debit,Los Angeles,D000414,M083,ATM,38,Doctor,235,1,7873.28,16,2,4,1,2024-11-04 08:10:23
1422.55,Debit,Washington,D000569,M072,Branch,79,Retired,165,1,5674.32,17,0,10,7,2024-11-04 08:06:50
226.37,Credit,Louisville,D000631,M041,Branch,49,Doctor,141,1,9840.04,17,0,18,9,2024-11-04 08:09:56
444.89,Credit,Las Vegas,D000173,M060,Branch,43,Doctor,101,1,10328.23,16,0,11,9,2024-11-04 08:11:50
280.57,Credit,Virginia Beach,D000538,M017,Online,25,Student,24,1,293.24,17,4,27,1,2024-11-04 08:10:24
488.54,Debit,Jacksonville,D000466,M036,Branch,52,Engineer,132,1,7486.63,17,0,3,7,2024-11-04 08:07:26
3.3,Credit,Los Angeles,D000215,M085,Branch,50,Doctor,131,1,11385.37,16,0,27,3,2024-11-04 08:10:11
199.39,Debit,Colorado Springs,D000304,M023,Branch,69,Retired,165,1,7264.79,16,0,21,8,2024-11-04 08:09:06
20.36,Debit,Tucson,D000082,M069,Branch,62,Retired,75,1,2762.48,17,0,24,7,2024-11-04 08:11:15
113.64,Debit,Detroit,D000022,M038,Online,62,Retired,32,1,6675.03,17,1,24,10,2024-11-04 08:07:55
493.11,Debit,Colorado Springs,D000232,M022,Branch,53,Retired,236,1,7432.99,16,0,31,7,2024-11-04 08:08:01
307.41,Debit,Los Angeles,D000014,M007,ATM,19,Student,14,1,1057.0,17,0,12,6,2024-11-04 08:09:48
11.18,Debit,Atlanta,D000129,M017,Online,43,Doctor,161,1,5956.89,16,3,30,11,2024-11-04 08:10:20
313.82,Debit,Tucson,D000357,M097,Branch,59,Engineer,151,1,7261.59,18,2,15,11,2024-11-04 08:08:42
51.0,Debit,Seattle,D000199,M063,Branch,64,Retired,107,1,4943.16,16,0,30,1,2024-11-04 08:08:23
140.98,Debit,Memphis,D000374,M059,Branch,60,Engineer,100,1,8127.48,16,3,25,5,2024-11-04 08:12:13
288.04,Debit,Denver,D000582,M092,ATM,68,Retired,63,1,1748.02,16,3,24,8,2024-11-04 08:10:00
800.55,Debit,Oklahoma City,D000657,M062,ATM,31,Engineer,108,1,9660.22,16,3,4,5,2024-11-04 08:06:49
485.54,Debit,Houston,D000589,M061,ATM,46,Engineer,143,1,6371.51,17,0,6,2,2024-11-04 08:11:46
521.15,Debit,Kansas City,D000108,M084,ATM,54,Doctor,214,1,9442.47,18,4,17,2,2024-11-04 08:07:31
321.79,Credit,Raleigh,D000537,M056,ATM,63,Retired,61,1,5959.2,17,0,7,8,2024-11-04 08:10:01
304.93,Debit,Portland,D000700,M098,ATM,65,Doctor,158,1,13531.22,16,4,24,2,2024-11-04 08:08:15
432.08,Debit,El Paso,D000073,M044,ATM,40,Doctor,145,1,11500.62,16,0,31,7,2024-11-04 08:11:46
694.2,Debit,Milwaukee,D000007,M035,ATM,61,Retired,72,1,1389.37,16,3,7,12,2024-11-04 08:07:23
116.86,Debit,Louisville,D000531,M088,ATM,55,Engineer,171,1,6706.56,18,0,20,3,2024-11-04 08:12:15
386.81,Credit,Detroit,D000248,M039,Online,57,Doctor,149,1,7175.29,18,4,3,3,2024-11-04 08:10:50
74.88,Debit,Atlanta,D000139,M026,ATM,25,Student,202,1,420.67,16,2,24,5,2024-11-04 08:07:46
195.76,Debit,Philadelphia,D000517,M056,Branch,75,Retired,99,1,7323.53,16,0,22,5,2024-11-04 08:09:48
134.7,Debit,Fort Worth,D000637,M074,ATM,50,Doctor,106,1,8395.85,16,0,21,8,2024-11-04 08:11:07
890.24,Credit,Las Vegas,D000223,M029,Online,33,Engineer,161,1,5140.93,18,4,7,7,2024-11-04 08:07:32
361.27,Debit,Omaha,D000676,M088,ATM,63,Doctor,180,1,7945.57,17,4,6,1,2024-11-04 08:10:07
131.56,Debit,Charlotte,D000203,M014,Branch,44,Doctor,42,1,5873.54,16,3,19,10,2024-11-04 08:07:12
485.51,Credit,Milwaukee,D000460,M097,Online,76,Retired,37,1,3074.45,16,1,28,11,2024-11-04 08:08:02
547.87,Debit,Columbus,D000183,M064,ATM,64,Retired,131,1,6155.76,17,0,10,7,2024-11-04 08:10:31
457.3,Debit,Virginia Beach,D000214,M042,Online,28,Engineer,15,1,8318.29,18,0,26,6,2024-11-04 08:07:53
506.24,Debit,Chicago,D000315,M077,ATM,58,Engineer,64,1,230.09,16,4,13,1,2024-11-04 08:11:40
486.59,Debit,Indianapolis,D000029,M017,Branch,57,Retired,119,1,2513.56,16,1,19,12,2024-11-04 08:10:02
163.68,Debit,San Diego,D000440,M087,Branch,41,Doctor,292,1,10090.05,16,3,28,9,2024-11-04 08:11:01
